Spectrum #,Particle #,x,y,Mg_at%,Al_at%,O_at%,An er w%,Mg_w%,Al_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments,Real_time,Live_time,Spectrum
0,2,-0.007,-0.007,0.07,81.12,18.81,-22.75,0.06,67.87,9.33,0.99924,89.2,0,6.8 min. ref. bckgrnd counts,9.96,9.43,"[0,0,0,0,0,0,0,0,0,0,0,0,15,5,5,2,4,5,3,3,6,4,7,10,18,25,38,88,140,200,202,219,175,109,50,24,9,6,3,7,3,4,7,1,3,6,5,5,6,6,13,29,33,72,103,100,116,108,68,41,25,17,11,5,1,7,7,7,6,5,5,11,9,11,11,6,12,15,11,9,12,17,7,16,14,22,23,30,12,14,25,24,30,30,46,87,73,81,75,87,44,48,38,33,26,22,20,32,28,31,27,21,26,22,21,19,27,25,17,29,30,34,28,33,31,36,34,43,52,47,46,67,48,60,42,57,49,49,54,61,43,72,82,97,131,245,379,701,1231,2020,2889,3765,4576,4576,4627,3925,3218,2265,1543,922,553,304,166,102,63,49,23,21,13,10,11,10,14,6,17,16,15,8,17,13,15,16,8,13,8,5,7,16,10,7,6,9,10,5,11,6,5,3,9,10,14,8,11,13,9,9,6,12,14,12,11,7,10,4,8,9,18,5,9,19,10,11,21,11,10,10,6,15,15,13,9,10,10,13,10,12,13,12,6,12,19,3,15,6,5,14,15,10,10,22,12,15,7,16,11,19,10,19,9,12,10,13,12,10,16,16,16,10,6,18,9,17,13,8,18,12,12,7,7,23,17,12,6,11,7,12,15,14,14,10,11,17,4,16,11,13,18,11,15,18,15,12,20,16,16,18,16,14,18,16,19,18,13,16,12,20,11,18,13,13,13,15,17,11,13,18,10,14,13,13,8,8,9,12,12,5,11,12,11,10,10,11,13,19,19,11,14,18,11,15,10,7,11,11,11,18,7,13,9,18,14,11,9,22,15,15,14,13,12,12,10,17,11,9,13,13,16,11,13,11,10,20,9,10,17,9,12,13,11,8,8,19,6,9,10,15,11,16,8,10,8,16,11,13,10,7,12,7,14,6,5,6,7,6,10,12,11,12,13,6,17,9,13,10,16,10,13,11,10,11,13,11,13,7,7,11,4,15,12,8,11,10,8,11,13,9,11,10,2,9,10,7,14,10,15,13,9,12,11,14,4,10,5,5,9,9,12,9,11,12,7,15,10,15,10,13,17,17,12,7,14,10,8,13,6,6,11,13,9,11,5,6,7,10,12,7,11,13,8,11,13,10,13,10,11,5,16,8,7,10,12,5,9,11,14,12,8,11,16,14,4,12,9,9,10,4,8,10,11,11,8,7,4,6,8,11,8,10,11,14,8,12,7,5,5,14,11,9,7,7,14,10,11,14,7,16,12,10,9,12,5,8,4,16,5,6,5,8,5,7,8,8,7,5,7,7,4,7,9,10,8,8,8,10,5,9,9,4,4,8,7,6,6,3,12,6,11,11,4,7,6,6,4,4,5,6,11,10,11,7,9,10,8,5,11,16,6,8,8,3,5,6,5,6,9,7,6,10,5,8,9,6,4,14,5,6,9,6,7,5,7,6,4,3,11,7,6,9,10,4,4,8,8,4,9,6,3,11,4,6,7,12,9,4,6,7,7,9,10,16,6,9,10,4,11,5,6,8,5,4,4,5,6,5,6,4,7,2,8,11,7,3,8,10,6,7,7,3,5,7,4,6,8,9,6,2,6,5,7,11,0,7,5,5,7,1,6,2,4,5,7,3,8,3,10,0,7,9,3,6,7,9,6,5,2,3,7,6,3,5,2,6,5,3,5,6,3,5,6,9,3,8,3,4,3,2,6,7,5,7,3,7,3,4,5,4,6,8,3,3,4,5,0,4,6,3,3,6,11,4,7,5,3,2,5,8,0,3,8,5,2,3,3,6,4,4,7,5,1,5,3,5,0,14,10,12,14,15,13,9,21,16,14,16,16,13,10,22,13,10,17,13,6,9,5,5,5,11,6,5,9,8,7,1,7,5,4,5,3,2,7,5,1,7,3,6,3,5,4,1,4,8,4,4,6,4,6,8,4,5,5,2,3,5,2,7,5,0,4,5,2,2,6,1,7,5,6,4,2,1,6,9,4,1,1,7,4,4,4,3,3,3,1,3,6,4,3,2,7,7,4,7,4,4,8,6,2,1,6,6,6,1,3,2,3,3,5,5,1,5,2,3,3,6,3,2,5,4,2,1,2,2,10,5,5,2,5,2,5,5,3,4,2,1,2,3,3,3,3,3,1,2,3,4,3,3,2,3,2,3,2,3,3,3,8,1,4,3,2,1,4,6,4,4,5,5,2,0,0,4,1,3,3,2,2,0,1,2,2,4,1,3,10,5,1,4,3,3,8,6,2,5,3,2,4,5,4,2,1,1,3,4,1,1,2,1,1,3,1,2,5,1,1,4,1,3,2,2,1,2,4,4,0,2,5,1,5,5,1,2,1,1,3,2,2,2,4,2,4,1,2,1,1,4,2,2,2,0,4,1,1,0,3,1,1,0,1,2,1,1,2,2,2,0,4,3,2,1,2,3,1,0,4,3,3,1,2,2,4,2,5,3,1,3,2,2,0,0,0,1,5,2,3,4,1,2,0,2,1,2,0,1,3,0,0,4,4,4,1,3,0,4,0,0,3,1,3,0,3,2,1,0,2,2,2,1,1,3,1,1,0,3,1,2,2,3,0,0,0,1,0,3,2,0,0,1,3,2,1,2,2,3,0,3,1,1,2,3,1,1,2,3,4,6,2,0,2,0,0,2,1,0,2,2,0,4,0,2,2,1,1,2,1,0,3,2,1,2,0,1,2,0,0,1,0,2,3,1,1,2,0,3,0,0,0,0,2,3,0,0,3,2,0,3,0,1,1,0,0,0,2,2,3,2,0,1,0,2,2,0,1,0,1,0,2,0,0,3,2,3,1,4,0,0,0,2,1,1,0,1,1,1,1,0,0,1,2,2,3,0,1,1,4,2,0,0,2,1,0,1,0,2,0,1,1,1,0,2,0,0,1,1,2,5,3,1,0,1,1,1,1,0,1,1,0,0,2,1,0,1,1,1,1,0,0,1,1,1,0,1,2,2,0,0,1,1,0,4,2,2,0,1,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,2,1,0,2,2,0,1,0,2,1,1,2,3,2,2,0,1,1,1,0,1,0,0,3,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,1,2,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,-0.041,0.002,0.04,86.96,12.99,-21.13,0.03,72.42,6.42,0.999189,96.8,0,11.7 min. ref. bckgrnd counts,6.89,6.37,"[0,0,0,0,0,0,0,0,0,0,0,0,10,7,9,4,6,4,7,8,11,11,4,8,15,23,50,90,151,226,271,237,204,139,79,21,13,13,6,12,6,6,6,7,10,3,6,10,15,22,23,28,55,87,103,145,156,132,92,56,30,19,11,11,11,14,7,14,19,14,10,9,14,12,19,16,16,24,14,16,22,21,22,24,28,28,31,26,17,27,31,36,56,59,67,88,122,108,115,101,84,55,43,52,41,30,34,25,30,30,30,33,29,31,25,36,27,32,36,31,23,43,32,32,27,38,44,48,53,58,63,51,47,47,42,54,56,42,41,44,54,58,67,83,115,237,401,775,1270,2049,2956,3701,4595,4872,4579,4009,3067,2173,1497,955,529,314,179,122,81,57,31,27,23,22,14,11,13,18,19,29,29,42,35,51,48,43,35,24,19,18,16,12,17,12,11,9,14,12,12,11,12,8,15,12,10,10,10,12,13,21,7,11,19,16,12,9,9,9,12,14,11,12,11,16,12,13,20,15,16,11,17,14,8,11,15,13,16,10,15,13,8,11,13,7,14,11,11,8,10,9,16,15,16,5,9,14,14,10,7,13,11,11,14,11,17,18,15,6,18,8,11,9,12,8,19,8,13,14,9,12,10,16,12,14,15,13,6,10,7,9,14,8,12,11,17,16,11,11,12,18,9,18,18,22,15,16,13,16,11,10,6,13,13,19,15,8,7,17,13,6,14,18,12,8,9,9,8,11,8,15,8,10,9,11,16,5,16,17,9,10,9,14,8,10,6,5,9,14,11,10,20,10,12,19,5,10,12,11,7,10,8,8,9,10,8,15,10,5,12,15,6,11,8,11,3,8,12,10,13,9,11,6,11,11,5,10,20,8,8,12,6,7,8,7,12,19,11,11,11,7,11,10,10,17,7,9,7,6,8,11,13,6,9,11,9,10,10,13,11,7,7,7,11,9,10,19,12,11,7,8,11,13,10,8,11,4,10,10,9,14,7,6,6,9,7,10,8,6,10,10,11,14,9,10,12,9,4,8,10,9,8,10,4,7,9,10,6,17,1,8,5,9,11,14,3,13,10,5,7,8,5,7,10,10,5,6,8,3,11,7,9,4,4,5,7,13,7,7,6,9,11,12,6,5,8,10,5,6,10,14,14,7,7,9,1,6,4,6,8,3,13,8,13,4,8,8,13,6,6,9,5,6,9,6,4,6,6,8,3,3,6,4,3,7,6,3,4,7,9,8,6,7,5,7,8,8,7,8,10,9,9,2,3,9,7,3,3,4,11,9,8,5,13,8,5,9,5,8,5,2,8,8,5,6,2,5,3,4,6,6,4,5,7,7,5,7,6,8,6,6,8,6,6,7,6,7,3,9,5,3,6,10,4,5,6,1,5,11,6,8,7,4,5,6,7,7,8,8,5,8,7,4,1,8,3,1,4,8,5,10,6,3,2,7,6,4,4,4,5,6,5,3,6,4,2,2,2,5,3,4,8,2,5,3,4,7,3,9,8,3,9,5,7,4,3,3,5,3,5,4,7,5,6,5,4,9,6,3,8,8,1,1,4,6,9,3,6,1,4,7,4,2,7,2,4,4,4,9,8,8,6,4,5,2,9,5,7,2,6,6,6,3,5,5,3,2,3,1,4,5,0,4,4,2,2,4,8,6,1,3,1,3,4,7,3,3,5,3,9,1,3,7,2,2,3,5,4,5,2,9,4,1,6,5,4,3,5,4,4,5,6,4,5,6,2,6,6,4,2,6,2,6,1,2,3,3,4,3,3,2,1,7,1,3,2,5,1,4,1,5,2,4,4,3,4,9,10,5,6,8,12,13,9,11,13,18,11,17,12,15,10,11,23,9,9,9,15,9,8,4,3,7,4,4,3,5,4,3,5,3,4,2,5,4,2,3,3,4,5,8,4,2,3,4,0,2,4,3,2,4,2,5,3,2,7,6,5,2,0,3,3,7,4,0,1,6,6,3,2,5,0,4,5,2,4,3,2,1,2,4,1,1,3,2,4,3,3,2,4,6,4,4,9,2,3,4,7,5,3,6,5,2,3,2,3,5,2,2,3,2,2,0,2,2,3,4,3,3,3,0,3,1,3,3,4,5,5,3,2,2,0,0,1,4,2,3,4,1,0,1,1,5,6,5,3,1,0,3,2,3,3,6,3,1,4,2,3,4,0,0,3,0,1,1,2,1,3,3,2,2,1,3,3,4,2,3,1,1,3,6,1,5,1,1,4,5,2,1,2,0,1,4,3,0,3,0,2,1,0,0,2,2,1,0,2,5,2,3,1,1,3,2,2,2,1,1,2,2,2,8,2,0,1,2,2,0,2,4,3,1,2,0,2,0,3,4,3,2,0,5,4,1,2,0,1,3,2,1,2,4,2,4,3,1,2,1,3,0,3,3,0,2,0,3,0,1,4,1,3,2,1,0,1,1,1,2,1,0,1,1,1,1,2,1,1,1,1,2,2,3,3,3,2,1,5,0,2,0,1,2,1,0,3,1,0,2,2,2,1,0,1,3,4,1,1,4,1,4,2,3,3,2,0,4,1,2,1,1,2,0,0,1,1,0,2,1,1,1,1,4,2,3,1,1,1,1,1,1,1,1,3,4,1,1,1,4,1,1,1,1,2,1,2,1,0,1,0,2,2,1,0,1,2,2,2,0,1,0,3,1,1,3,1,3,4,0,0,1,1,1,1,2,1,1,1,1,1,1,0,3,1,0,0,1,1,2,1,3,0,1,0,2,2,1,1,1,2,0,0,1,0,0,1,1,2,0,1,1,0,1,0,0,2,0,0,1,3,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,1,3,1,1,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,4,-0.072,0.056,,,,,,,,,,2,Total counts too low,25.16,25.36,"[0,0,0,0,0,0,0,0,0,0,0,0,33,12,4,5,6,4,5,12,5,7,16,15,27,53,107,204,351,508,587,571,457,273,167,77,16,8,8,2,3,2,3,6,4,7,7,8,17,11,21,35,64,113,154,182,160,151,107,75,39,20,7,3,6,5,2,5,2,0,5,8,3,6,7,2,4,2,8,6,3,4,3,3,4,3,5,1,5,5,8,1,4,3,6,9,3,3,3,5,4,3,2,6,2,4,8,3,4,2,6,3,1,3,5,2,6,5,4,3,4,0,4,3,4,4,5,5,6,6,5,6,7,8,3,5,4,6,5,5,4,6,1,5,7,13,17,25,50,82,133,160,180,201,192,171,135,99,55,45,37,21,11,11,3,12,4,6,7,5,4,2,1,5,7,5,6,18,7,10,6,9,11,7,11,12,8,4,9,7,7,8,10,6,11,10,6,8,9,14,10,12,8,4,11,13,15,9,11,8,16,10,18,11,16,10,16,5,8,18,8,14,20,14,16,15,20,16,7,10,14,13,21,13,22,13,9,19,18,27,22,18,19,19,21,23,25,27,30,11,14,25,27,16,18,26,21,25,25,25,29,24,12,29,23,27,24,30,23,28,34,25,31,24,22,27,23,21,19,26,32,24,26,26,27,23,23,30,28,26,22,26,21,25,27,30,19,20,18,18,31,19,22,39,18,25,23,27,22,26,32,30,24,24,22,23,28,18,24,30,36,27,30,42,26,31,23,23,27,33,34,23,31,28,23,24,43,36,22,30,31,21,34,22,25,29,33,15,26,25,26,20,29,28,38,32,27,30,19,19,29,25,36,25,23,30,28,36,21,30,30,22,45,32,33,28,37,44,26,31,31,28,27,23,32,22,23,24,27,32,22,21,29,37,27,29,18,32,32,24,40,36,30,32,36,26,24,36,34,29,25,35,28,28,27,25,26,29,25,33,27,29,23,20,25,33,24,22,22,30,27,24,20,24,24,23,23,25,34,32,24,22,25,23,32,29,23,37,27,30,32,24,18,23,22,21,25,37,24,29,25,25,28,21,24,27,24,23,26,24,30,24,17,27,28,17,30,31,26,16,22,24,25,28,22,24,18,14,18,35,22,27,21,22,18,22,25,20,33,28,28,21,24,18,17,28,20,30,19,20,27,23,30,23,18,14,25,25,28,23,24,25,16,26,30,26,28,25,29,25,24,27,24,20,27,18,25,14,18,31,20,22,14,19,24,23,14,31,29,28,18,25,23,29,25,25,24,24,15,14,19,24,25,24,20,22,15,19,14,16,20,15,24,12,19,26,14,17,26,17,22,18,24,19,20,13,20,22,23,17,14,21,20,24,14,26,17,22,36,16,20,21,18,19,17,20,28,20,15,15,21,12,22,19,22,17,19,19,17,21,19,21,22,20,18,23,18,14,16,19,21,21,18,11,18,16,17,12,30,18,31,17,26,16,37,35,40,37,38,45,52,37,25,30,32,13,24,24,16,20,16,19,16,19,14,20,13,19,12,15,23,24,21,18,20,19,9,18,12,10,16,16,14,15,16,14,23,19,14,11,12,12,17,20,17,11,16,15,11,15,26,17,25,20,12,18,11,18,10,17,17,20,22,20,19,19,14,16,13,19,21,11,15,11,10,9,10,8,16,14,10,17,10,9,10,11,18,18,13,7,9,21,11,14,16,18,14,19,19,21,15,12,13,8,7,14,12,15,17,11,13,12,12,11,11,12,12,16,10,11,11,12,14,20,8,9,16,7,10,9,12,9,13,8,9,7,10,17,14,13,8,14,11,10,13,12,8,14,9,12,12,16,13,25,19,24,22,28,42,44,34,44,45,60,51,43,53,43,36,28,20,39,27,15,18,10,17,12,18,10,18,11,17,13,12,12,9,9,8,7,6,14,14,8,11,7,9,9,14,10,9,7,11,7,7,10,9,15,16,9,9,11,8,7,19,7,6,12,10,11,12,12,3,6,8,11,7,6,12,8,8,9,8,11,10,18,9,9,14,10,11,11,16,7,9,10,12,11,11,3,14,15,12,12,14,11,13,12,17,14,15,14,7,16,16,13,10,10,8,7,7,3,9,8,7,14,6,13,8,9,11,5,9,1,7,12,8,10,10,3,6,5,4,11,9,14,10,10,9,10,8,7,11,8,7,8,6,5,12,4,11,5,13,5,7,9,7,9,11,6,5,6,6,7,7,6,9,6,4,6,9,10,6,9,6,8,9,8,3,2,7,3,9,3,5,11,4,4,3,10,5,9,4,7,6,11,7,10,3,10,5,9,6,7,10,6,6,8,6,4,6,8,3,6,5,3,4,5,4,5,3,7,4,4,6,7,6,6,5,3,7,4,4,7,5,9,6,3,5,5,14,1,4,3,3,5,7,2,4,7,10,3,7,3,3,2,8,6,11,3,5,10,6,4,6,5,6,7,4,5,3,5,3,11,4,9,4,7,8,3,9,6,8,6,4,8,7,6,8,8,3,7,11,9,6,5,5,5,4,5,3,3,9,6,5,2,5,10,7,2,6,5,10,3,2,0,3,4,3,7,4,5,5,3,8,3,3,3,4,10,5,6,5,3,3,3,4,8,7,5,4,3,9,1,3,3,2,3,3,1,3,3,5,3,7,5,3,8,7,6,3,3,9,1,7,1,2,3,2,2,7,4,2,3,2,5,2,2,3,3,6,2,2,3,6,8,2,0,7,2,3,5,4,2,4,9,4,7,8,2,1,2,5,7,4,2,5,1,5,2,4,5,2,2,3,2,3,5,3,3,4,2,3,4,3,3,3,1,0,1,4,2,3,2,2,1,5,1,3,2,1,3,2,1,4,3,4,2,1,2,1,5,0,3,3,4,4,4,1,1,1,2,3,1,2,3,2,3,4,0,4,0,2,0,4,4,2,0,1,2,1,3,4,2,3,4,1,4,2,3,2,1,1,0,6,3,3,1,1,4,3,2,0,1,1,2,2,2,3,2,2,1,3,2,1,2,1,2,0,2,2,3,1,2,0,1,1,1,1,2,0,2,0,0,5,1,1,3,1,2,3,0,4,6,0,3,2,1,0,0,1,2,1,0,3,3,3,1,2,2,3,3,2,2,1,0,1,0,0,0,2,2,0,0,0,0,2,0,0,1,1,1,0,1,2,1,0,1,1,0,0,1,0,1,0,0,1,0,5,2,0,2,0,0,2,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,2,0,2,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
